post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Formato,attribute_data:Formato,"attribute:Formato de venta:","attribute_data:Formato de venta:",attribute:pa_colores,attribute_data:pa_colores,attribute:pa_formato-de-venta,attribute_data:pa_formato-de-venta,attribute:pa_medida,attribute_data:pa_medida,attribute:pa_medidas,attribute_data:pa_medidas,attribute:pa_presentacion,attribute_data:pa_presentacion,attribute:pa_presentaciones,attribute_data:pa_presentaciones,attribute:pa_tallas,attribute_data:pa_tallas
"Toallitas antisépticas con alcohol al 70% - Cranberry",toallitas-antisepticas-con-alcohol-al-70-cranberry,,3014,"Las toallitas impregnadas en alcohol son un insumo desechable. Están selladas de manera individual para conservar el alcohol, siendo su envase de muy fácil manipulación. Poseen una variedad de funciones que van desde la antisepsia de la piel, procedimiento realizado previo a cada punción, desinfección de accesos en catéteres venosos y arteriales, desinfección de frascos y ampollas del área médica previo a su administración y desinfección de todo tipo de tubuladuras del área de la salud.",,publish,,1,"2024-06-04 14:50:03",2,open,AATOAALC,,,no,no,10,1780,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/toallitas-antisepticas-con-alcohol-al-70_1.jpg ! alt :  ! title : toallitas-antisepticas-con-alcohol-al-70_1 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/toallitas-antisepticas-con-alcohol-al-70-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Caja de 100 unidades",0|1|0,,,,
"Dieco gel 250cc - Difem",dieco-gel-250cc-difem,,3015,,,publish,,1,"2024-06-04 14:50:03",2,open,2400158,,,no,no,10,2180,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,,,https://www.farmanostica.cl/product/dieco-gel-250cc-difem/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,Unidad,0|1|0,,,,
"Compresa de gasa esteril 45X45cm - Cranberry",compresa-de-gasa-esteril-45-x-45-cranberry,,3016,"Compresa estéril desechable con una estructura en trama de gasa de 20 a 24 hilos. Posee una cinta radiopaca azul que permite su seguimiento radiológico. Actúa absorbiendo el contenido hemático, mejorando la visión del campo quirúrgico para el cirujano.

Las compresas se utilizan para realizar hemostasia durante cirugías, accidentes y/o procedimientos invasivos, en los cuales se presente un sangramiento leve a moderado, incluso severo.",,publish,,1,"2024-06-04 14:50:04",2,open,AACOMGES,,,no,no,10,1790,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/compresa-de-gasa-esteril.jpg ! alt :  ! title : compresa-de-gasa-esteril ! desc :  ! caption : ",,https://www.farmanostica.cl/product/compresa-de-gasa-esteril-45-x-45-cranberry/,0,,,,,,,,,1,90,,,simple,,"Insumos Médicos > Apósitos y Gasas|Insumos Médicos > Apósitos y Gasas > Estériles|Insumos Médicos",,,,,,,,,,,,,,,"Paquete de 5 unidades",0|1|0,,,,
"Gasa en Rollo 36 cm X 100 Yardas - Cranberry",gasa-en-rollo-36-cm-x-100-yardas-cranberry,,3017,"Gasa hidrófila que se caracteriza por su absorción, resistencia y por permitir la ventilación de la piel. Este producto está empacado y doblado en 4 pliegues, luego es enrrollado en 91,4 metros.

Para su presentación final la gasa se limpia, desesgrasa y blanquea. Entre sus usos ampliados se encuentra ser material de succión y acolchonamiento en el área de medicina e higiene, apta para el tratamiento de heridas con secreciones contaminadas y muy sangrantes, también para realizar la contención y/o protección de la curación principal. Esta gasa es la base en la construcción de apósitos y gasas clínicas de diferentes tamaños.",,publish,,1,"2024-06-04 14:50:04",2,open,AAGAS100,,,no,no,10,20990,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/gasa-36-x-100-yardas.jpg ! alt :  ! title : gasa-36-x-100-yardas ! desc :  ! caption : ",,https://www.farmanostica.cl/product/gasa-en-rollo-36-cm-x-100-yardas-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,Unidad,0|1|0,,,,
"Cloruro de etilo spray 100ml - Kelen",cloruro-de-etilo-spray-100ml-kelen,,3040,"Aerosol para uso clínico funciona como anestésico cryo tópico, analgésico y spray frío. Uso tópico externo en el aparato musculoesquelético. Para aliviar el dolor en esquinces, contusiones, golpes y picaduras de insectos.",,publish,,1,"2024-06-04 14:50:11",2,open,DDCLOEKE,,,no,no,10,10990,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/cloruro-de-etilo-spray_1.jpg ! alt :  ! title : cloruro-de-etilo-spray_1 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/cloruro-de-etilo-spray-100ml-kelen/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Spray 100ml",0|1|0,,,,
"Esponja Jabonosa - Addermis Biactiv",esponja-jabonosa-addermis-biactiv,,3041,"Las esponjas jabonosas son insumos desechables para la higiene corporal diaria y completa de pacientes que son autovalentes para ducharse solos, y también para baño en cama de pacientes con dependencias en tareas de higiene. Posee un gel dermatológico e hipoalergénico con un pH 5,5 que garantiza la mantención de la barrera protectora de la piel. Posee 0% de resinas. Su textura es ideal para eliminar células muertas.",,private,,1,"2024-06-04 14:50:11",2,open,AAESJAI0,,,no,no,10,2550,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/esponja-jabonosa-406.jpg ! alt :  ! title : esponja-jabonosa-406 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/esponja-jabonosa-addermis-biactiv/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Paquete de 20 unidades",0|1|0,,,,
"Sabanillas Protector De Cama Desechable 60x90cm - Cranberry",sabanillas-protector-de-cama-desechable-60x90cm-cranberry,,3042,"Insumo desechable de protección personal que se instala sobre las sábanas de camas y camillas. La sabanilla es un protector absorbente que permite mantener la piel del usuario seca e indemne. Actúa absorbiendo emisiones de orina que pudieran escapar de cualquier otro sistema. Absorbe secreciones de úlceras o heridas de la piel y reduce la tarea de cambio de ropa de cama permitiendo un ahorro en lavandería. Entre sus usos extendidos se encuentra el uso de la sabanilla para entrenar la eliminación de orina, fecas en gatos y perros en un lugar previamente establecido.",,publish,,1,"2024-06-04 14:50:11",2,open,AASABAN3,,,no,no,10,3990,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/sabanilla-protector-de-cama.jpg ! alt :  ! title : sabanilla--protector-de-cama ! desc :  ! caption : ",,https://www.farmanostica.cl/product/sabanillas-protector-de-cama-desechable-60x90cm-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Paquete de 10 unidades",0|1|0,,,,
"Bolsa recolector orina adulto premium 2 Lts - Cramberry",bolsa-recolector-orina-adulto-premium-2-lts-cramberry,,3043,"El recolector de orina es un insumo médico desechable y de uso único. Su función es acumular la orina en su contenedor. Posee un circuito cerrado de polietileno, de baja densidad y de grado médico. Este recolector permite la medición de orina en forma horaria, la toma cerrada de exámenes y la realización de un balance hídrico estricto.

Se usa en pacientes que han perdido la continencia urinaria o los que necesitan un apoyo temporal durante cirugías o procedimientos.",,publish,,1,"2024-06-04 14:50:12",2,open,AARECOAP,,,no,no,10,3590,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/recolector-de-orina-adulto_2.jpg ! alt :  ! title : recolector-de-orina-adulto_2 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/bolsa-recolector-orina-adulto-premium-2-lts-cramberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,Unidad,0|1|0,,,,
"Apósito Hidrogel 15g - Cranberry",aposito-hidrogel-15g-cranberry,,3044,"El objetivo del hidrogel es causar un desbridamiento autolítico en el lecho de una herida, a través de la humedad efectiva y controlada del gel. El desbridamiento autolítico es la remoción del tejido necrótico, esfacelado y/o de fibrina de una herida. Estos tejidos están muertos, ocupan espacio e impiden que el tejido sano de una herida pueda cicatrizar, por tanto, es fundamental eliminarlos para permitir que el tejido granulatorio (sano) cicatrice de una manera funcional y estética en el paciente. La herida al contacto con el gel activa una serie de acciones metabólicas que estimulan las enzimas propias de la herida, humectando y degradando los tejidos mencionados, los cuales se retiran a través del arrastre mecánico en una curación avanzada de heridas.",,publish,,1,"2024-06-04 14:50:12",2,open,AAPHID01,,,no,no,10,2180,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/aposito-hidrogel.jpg ! alt :  ! title : aposito-hidrogel ! desc :  ! caption : ",,https://www.farmanostica.cl/product/aposito-hidrogel-15g-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,Unidad,0|1|0,,,,
"Parche curita redondo a prueba de agua - Cranberry",parche-curita-a-prueba-de-agua-cranberry,,3045,"El parche curita redondo es un apósito adhesivo, poroso y estéril. Diseñado para proteger la piel post punción, post extracción de sangre y heridas pequeñas.",,publish,,1,"2024-06-04 14:50:13",2,open,AAPARCHE,,,no,no,10,1290,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/parche-adhesivo-redondo-esteril-373.jpg ! alt :  ! title : parche-adhesivo-redondo-esteril-373 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/parche-curita-a-prueba-de-agua-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Caja de 30 unidades",0|1|0,,,,
"Algodón hidrófilo prensado 1kg - Tresor",algodon-hidrofilo-prensado-1kg-tresor,,3047,,,publish,,1,"2024-06-04 14:50:13",2,open,AAALGOPT,,,no,no,0,6490,,,,,,,,outofstock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/algodon-hidrofilo-prensado_5.jpg ! alt :  ! title : algodon-hidrofilo-prensado_5 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/algodon-hidrofilo-prensado-1kg-tresor/,10,,,,,,,,,,,,,simple,outofstock,"Insumos Médicos > Algodones > Algodón hidrófilo|Insumos Médicos > Algodones > Algodón prensado|Insumos Médicos > Algodones|Insumos Médicos",,,,,,,,,,,,,,,Unidad,0|1|0,,,,
"Babero Dental Impermeable - Cranberry",babero-dental-impermeable-cranberry,,3048,"Este insumo dental desechable proporciona protección para todo tipo de actividad odontológica. El babero celeste está compuesto por 3 capas, una de polietileno de baja densidad que otorga impermeabilidad contra todo tipo de líquido/secreciones y dos capas de papel hipoalergénico que proporcionan la absorción de todo tipo de fluidos bucales.",,publish,,1,"2024-06-04 14:50:14",2,open,AABABER1,,,no,no,10,4350,,,,,,,,instock,no,no,2,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/06/babero-dental_2.jpg ! alt :  ! title : babero-dental_2 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/babero-dental-impermeable-cranberry/,0,,,,,,,,,,,,,simple,,"Insumos Médicos",,,,,,,,,,,,,,,"Paquete de 100 unidades",0|1|0,,,,
"Alcohol Etílico al 70% - Winkler",alcohol-etilico-al-70-winkler,,3091,"Es un limpiador y efectivo antibacterial formulado para proporcionar una acción frente a un amplio espectro
de microorganismos. Se puede aplicar directamente sobre superficies duras, artefactos y otros.

Producto libre de enjuague, de rápida evaporación que no deja residuos y libre de humedad. No posee
efecto residual","1 Litro",publish,,0,"2024-10-15 03:57:00",2,open,2-00-420,,,no,no,5,4990,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/ialw11i4.png ! alt :  ! title : ialw11i4 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/alcohol-etilico-al-70-winkler/,0,,,,,,,,,1,90,,,simple,,"Cuidado personal e higiene > Higienizante de manos > Alcohol + glicerina con cobre",,,,,,,,,,,,,,,,,,,,
"Jabón Líquido Neutro Para Manos - Winkler",jabon-liquido-neutro-para-manos-winkler,,3093,"Jabón liquido neutro de 1 litro. Es un producto líquido formulado sobre una base sintética de tensoactivos y en conjunto con su principio activo Triclosán al 0,25%. Destinado para la limpieza e higiene de las mano.","1 Litro",publish,,0,"2024-10-15 04:01:32",2,open,2-11-200,,,no,no,5,2990,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/uzgo620x.png ! alt :  ! title : uzgo620x ! desc :  ! caption : ",,https://www.farmanostica.cl/product/jabon-liquido-neutro-para-manos-winkler/,0,,,,,,,,,1,90,,,simple,,"Cuidado personal e higiene|Cuidado personal e higiene > Jabones",,,,,,,,,,,,,,,,,,,,
"Alcohol Gel – Winkler",alcohol-gel-winkler,,3095,"Es un gel especialmente formulado para proporcionar una acción de higiene, permitiendo ayudar en la eliminación de gérmenes presente en sus manos. WK-117 dada su composición constituida por ingredientes cuidadosamente seleccionados y testeados, gel alcohólico posee excelentes propiedades protectoras de la piel sin necesidad de enjuague posterior. (REG. ISP N°2311C-1/20)","100 ml",publish,,0,"2024-10-15 04:06:33",2,open,2-35-382,,,no,no,4,3990,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/eu196n4s.png ! alt :  ! title : eu196n4s ! desc :  ! caption : ",,https://www.farmanostica.cl/product/alcohol-gel-winkler/,0,,,,,,,,,1,90,,,simple,,"Cuidado personal e higiene > Higienizante de manos > Alcohol Gel|Cuidado personal e higiene > Higienizante de manos",,,"100 ml",0|1|0,,,,,,,,,,,,,,,,
"Crema corporal Dermocream Urea 10% 400ml - Simond's",crema-corporal-dermocream-urea-10-400ml-simonds,,3100,"Crema corporal Simonds con fórmula dermoactiva de fácil aplicación, rápida absorción, no grasa, ayuda a mantener el balance de humedad y reparar la piel extra seca. Con urea al 10%, ayuda a restablecer la pérdida de humedad y reducir los signos de aspereza, resequedad y descamación, reteniendo y captando agua en las diferentes capas de la piel. Refuerza la función barrera de la piel. Ayuda a mejorar su barrera lipídica, favoreciendo la recuperación de la flexibilidad y elasticidad de la piel.","400 ml",publish,,0,"2024-10-15 04:20:56",2,open,PT15260,,,no,no,,,,,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/d4ekf51g.png ! alt :  ! title : d4ekf51g ! desc :  ! caption : ",,https://www.farmanostica.cl/product/crema-corporal-dermocream-urea-10-400ml-simonds/,0,,,,,,,,,,,,,simple,outofstock,"Cuidado personal e higiene > Cremas|Cuidado personal e higiene",,,"400 ml",0|1|0,,,,,,,,,,,,,,,,
"Película protectora sin ardor para la piel - Cranberry",pelicula-protectora-sin-ardor-para-la-piel-cranberry,,3114,"La película protectora sin ardor para la piel forma una capa protectora transparente que actúa como una segunda piel, es capaz de impermeabilizar la zona cutánea que es roseada con su contenido. Su acción es prevenir la irritación de la piel en contacto con fluidos corporales irritantes y/o fricción, ya que esto favorece un ambiente con humedad aumentada y descontrolada que podría macerar la piel. Promueve la salud de la piel, reforzando su barrera mecánica evitando la formación de úlceras y/o heridas en el paciente.","28 ml",publish,,0,"2024-10-15 04:53:45",2,open,AAPELHI1,,,no,no,5,6990,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/cprq97vn.png ! alt :  ! title : cprq97vn ! desc :  ! caption : ",,https://www.farmanostica.cl/product/pelicula-protectora-sin-ardor-para-la-piel-cranberry/,0,,,,,,,,,1,60,,,simple,,"Cuidado personal e higiene",,,,,,,,,"28 ml",0|1|0,,,,,,,,,,
"Algodón hidrófilo prensado - Nascare",algodon-hidrofilo-prensado-nascare,,3122,"Se usa como elemento hemostático y/o aseo. Sirve para absorber sangre, mucus, pus y otros fluidos. Es un buen protector mecánico. Empleado principalmente en labores de limpieza de equipos médicos y también hospitalarios. El algodón es sometido a un proceso de limpieza y desengrase para ser utilizado en el área médica.","1 kg",publish,,1,"2024-10-15 05:04:02",2,open,AALGONASCARE,,,no,no,,6490,,,,,,,,outofstock,no,no,,no,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/bjm2p2no.png ! alt :  ! title : bjm2p2no ! desc :  ! caption : ",,https://www.farmanostica.cl/product/algodon-hidrofilo-prensado-nascare/,0,,,,,,,,,,,,,simple,outofstock,"Insumos Médicos",,,,,,,,,,,,,,,"1 kg",0|1|0,,,,
"Apósito de Miel de Ulmo en Gel - Ulmo Plus",ulmo-plus-30g,,3131,"ULMOPLUS es un apósito gel en base a miel de Ulmo grado medicinal NHF + Vitamina C, elaborado en Chile, con altos niveles de compuestos antibacterianos y antioxidantes. Posee un pH bajo y una osmolaridad alta, lo que favorece el desbridamiento osmótico de las heridas con tejido esfacelado o necrótico.",,publish,,0,"2024-10-15 05:25:14",2,open,552-14990,,,no,no,5,12590,10990,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/pj0bnhnn.png ! alt :  ! title : pj0bnhnn ! desc :  ! caption : ",,https://www.farmanostica.cl/product/ulmo-plus-30g/,0,,,,,,,,,,,,,simple,,"Cuidado personal e higiene",,,,,,,,,,,,,,,,,,,,
"Parche Curita Rectangular - Curaplast",parche-curita-rectangular-curaplast,,3137,"Vendas adhesivas confeccionadas con tela flexible, impermeable, microperforada, permitiendo la ventilación de la piel, tienen un adecuado nivel de adhesividad y una compresa de gasa antiadherente. Nuestras vendas adhesivas poseen una tela suave y absorbente que no se pega a la herida. Permanecen adheridas por más tiempo, ya que su avanzado adhesivo es resistente al agua y a la humedad. Son productos estériles.","Caja x 100 unidades",publish,,0,"2024-10-15 05:33:30",2,open,,,,no,no,,,,,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/ltj8bkbh.png ! alt :  ! title : ltj8bkbh ! desc :  ! caption : ",,https://www.farmanostica.cl/product/parche-curita-rectangular-curaplast/,0,,,,,,,,,,,,,simple,outofstock,"Cuidado personal e higiene",,,,,,,,,,,,,,,,,,,,
"Sabanillas De Entrenamiento Mascota 60 X 60 - Tipsy",sabanillas-de-entrenamiento-mascota-60-x-60,,3198,,"Los Training Pads  de Tipsy®  con superficie antideslizante son la solución perfecta para el entrenamiento de tu mascota de forma efectiva e higiénica dentro de cualquier espacio.  Las alfombrillas cuentan con capas protectoras y en el centro un nucleo de gel ultra absorbente que encapsula los fluidos e impide derrames y encharcamiento.

Contiene un agente atrayente que hará que tu mascota identifique el lugar para hacer sus necesidades neutralizando olores y preservando las condiciones de limpieza dentro del espacio.",publish,,0,"2024-10-24 09:50:00",3,open,AASABAN4,,,no,no,5,5990,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://www.farmanostica.cl/wp-content/uploads/2024/10/tipsy.png ! alt :  ! title : tipsy ! desc :  ! caption : ",,https://www.farmanostica.cl/product/sabanillas-de-entrenamiento-mascota-60-x-60/,0,,,https://www.farmanostica.cl/product/sabanillas-de-entrenamiento-mascota-60-x-60/,,,,"Sabanilla entrenamiento mascotas: absorbente, antideslizante y de alta duración. Ideal para cachorros y adiestramiento en casa. Compra Aquí!",,1,,,,simple,,"Productos Veterinarios",,,,,,,,,,,,,,,,,,,,
"Guante vinilo sin polvo Talla M - Accutouch - Oferta 5 cajas",guante-vinilo-sin-polvo-accutouch-oferta-5-cajas,,3257,"<strong>Promoción 5 cajas de guantes de vinilo talla M (100 unidades por caja)</strong>

¡Protección y confort al alcance de tus manos! Los guantes de vinilo sin polvo Accutouch, talla M, son ideales para uso médico, limpieza y manipulación de alimentos. Su diseño sin látex reduce el riesgo de alergias, proporcionando una barrera efectiva y resistente. Aprovecha esta oferta de 5 cajas y asegura higiene y seguridad en cada tarea. ¡Perfectos para tu negocio o uso personal!

_______________________________________

Los <strong>Guantes de Vinilo sin Polvo Talla M de Accutouch</strong> son una solución ideal para aquellos que necesitan una protección cómoda, segura y libre de látex en sus actividades diarias. Diseñados especialmente para evitar reacciones alérgicas, estos guantes están elaborados con vinilo de alta calidad, garantizando resistencia y durabilidad sin comprometer la sensibilidad al tacto, una característica clave para realizar tareas precisas y detalladas.

Estos guantes son una excelente opción para profesionales de diversas áreas, incluyendo la salud, la limpieza, la industria alimentaria, y aquellos entornos que requieren una higiene rigurosa y el contacto directo con materiales delicados. Al estar libres de polvo, los Guantes de Vinilo de Accutouch reducen el riesgo de contaminación cruzada, manteniendo altos estándares de seguridad e higiene. Además, el diseño sin polvo facilita su colocación y retiro, siendo ideales para aquellas personas con piel sensible.

El tamaño M de estos guantes asegura un ajuste cómodo y anatómico, proporcionando libertad de movimiento y minimizando la fatiga en las manos, incluso durante largas jornadas laborales. Su grosor equilibrado brinda protección sin perder flexibilidad, haciendo que se adapten bien a una amplia gama de tareas.

<strong>Oferta Especial</strong>
Este paquete<em> <strong>incluye 5 cajas de guantes de vinilo Talla M</strong></em>. Cada caja contiene 100 unidades, garantizando un abastecimiento prolongado para que no tengas que preocuparte de reponer constantemente tu inventario de protección personal.

Opta por la calidad y seguridad con los Guantes de Vinilo sin Polvo de Accutouch, una opción confiable y cómoda para cuidar de ti y de los demás en cada tarea.

Si quieres ver todos los guantes que tenemos disponibles, haz clic en el siguiente link:

<a href=""https://www.farmanostica.cl/product-category/insumos-medicos/guantes/"">https://www.farmanostica.cl/product-category/insumos-medicos/guantes/</a>

&nbsp;","Los guantes de vinilo Accutouch Talla M brindan una protección de barrera confiable, cómodo y sin polvo con mayor sensibilidad táctil y durabilidad",publish,,0,"2024-11-08 15:26:27",3,open,MDS19207-1,,,no,no,50,15000,10000,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/MDS1920.jpg ! alt : Guantes Vinilo Accutouch ! title : MDS1920 ! desc :  ! caption : Guantes Vinilo Accutouch",,https://www.farmanostica.cl/product/guante-vinilo-sin-polvo-accutouch-oferta-5-cajas/,0,,"guantes vinilo Accutouch 5 cajas",https://www.farmanostica.cl/product/guante-vinilo-sin-polvo-accutouch-oferta-5-cajas/,,,,"Los guantes de vinilo sin polvo Talla M Accutouch brindan una protección de barrera confiable, cómodo y sin polvo con mayor sensibilidad. Compra Aquí!",61,2,60,,,simple,,"Insumos Médicos > Guantes > Accutouch|Insumos Médicos > Guantes|Insumos Médicos > Guantes > Sin Polvo|Insumos Médicos > Guantes > Vinilo","descartable|guante|sin polvo|vinilo",,,,"Caja x 100 Unidades = 50 Pares",1|1|0,,,,,,,,,,,,,M,0|1|1
"Guante vinilo sin polvo Talla M - Accutouch - Oferta 10 cajas",guante-vinilo-sin-polvo-talla-m-accutouch-oferta-10-cajas,,3261,"<strong>Promoción 10 cajas de guantes de vinilo talla M (100 unidades por caja)</strong>

¡Protección y confort al alcance de tus manos! Los guantes de vinilo sin polvo Accutouch, talla M, son ideales para uso médico, limpieza y manipulación de alimentos. Su diseño sin látex reduce el riesgo de alergias, proporcionando una barrera efectiva y resistente. Aprovecha esta oferta de 10 cajas y asegura higiene y seguridad en cada tarea. ¡Perfectos para tu negocio o uso personal!

_______________________________________

Los <strong>Guantes de Vinilo sin Polvo Talla M de Accutouch</strong> son una solución ideal para aquellos que necesitan una protección cómoda, segura y libre de látex en sus actividades diarias. Diseñados especialmente para evitar reacciones alérgicas, estos guantes están elaborados con vinilo de alta calidad, garantizando resistencia y durabilidad sin comprometer la sensibilidad al tacto, una característica clave para realizar tareas precisas y detalladas.

Estos guantes son una excelente opción para profesionales de diversas áreas, incluyendo la salud, la limpieza, la industria alimentaria, y aquellos entornos que requieren una higiene rigurosa y el contacto directo con materiales delicados. Al estar libres de polvo, los Guantes de Vinilo de Accutouch reducen el riesgo de contaminación cruzada, manteniendo altos estándares de seguridad e higiene. Además, el diseño sin polvo facilita su colocación y retiro, siendo ideales para aquellas personas con piel sensible.

El tamaño M de estos guantes asegura un ajuste cómodo y anatómico, proporcionando libertad de movimiento y minimizando la fatiga en las manos, incluso durante largas jornadas laborales. Su grosor equilibrado brinda protección sin perder flexibilidad, haciendo que se adapten bien a una amplia gama de tareas.

<strong>Oferta Especial</strong>
Este paquete<em> <strong>incluye 10 cajas de guantes de vinilo Talla M</strong></em>. Cada caja contiene 100 unidades, garantizando un abastecimiento prolongado para que no tengas que preocuparte de reponer constantemente tu inventario de protección personal.

Opta por la calidad y seguridad con los Guantes de Vinilo sin Polvo de Accutouch, una opción confiable y cómoda para cuidar de ti y de los demás en cada tarea.

Si quieres ver todos los guantes que tenemos disponibles, haz clic en el siguiente link:

<a href=""https://www.farmanostica.cl/product-category/insumos-medicos/guantes/"">https://www.farmanostica.cl/product-category/insumos-medicos/guantes/</a>

&nbsp;

&nbsp;","Los guantes de vinilo sin polvo Talla M Accutouch brindan una protección de barrera confiable, cómodo y sin polvo con mayor sensibilidad táctil y durabilidad",publish,,0,"2024-11-08 15:44:23",3,open,MDS19207-1-1,,,no,no,45,30000,19000,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://www.farmanostica.cl/wp-content/uploads/2024/03/MDS1920.jpg ! alt : Guantes Vinilo Accutouch ! title : MDS1920 ! desc :  ! caption : Guantes Vinilo Accutouch",,https://www.farmanostica.cl/product/guante-vinilo-sin-polvo-talla-m-accutouch-oferta-10-cajas/,5,,"guantes de vinilo Accutouch",https://www.farmanostica.cl/product/guante-vinilo-sin-polvo-talla-m-accutouch-oferta-10-cajas/,,,,"Los guantes de vinilo Accutouch no contienen látex de caucho natural, polvo ni proteínas, por lo que son una opción para las personas con piel sensible.",70,2,60,,,simple,rated-5,"Insumos Médicos > Guantes > Accutouch|Insumos Médicos > Guantes|Insumos Médicos > Guantes > Sin Polvo|Insumos Médicos > Guantes > Vinilo","descartable|guante|guantes|guantes sin polvo|guantes vinilo|sin polvo|vinilo",,,,"Caja x 100 Unidades = 50 Pares",1|1|0,,,,,,,,,,,,,M,0|1|1
